fold,n_layer,layer_size,features,f_engineer,normalize,acc
3,3,2,"['length', 'sd']",1,1,94.91228070175438
3,3,2,"['length', 'sd']",0,1,93.6842105263158
3,3,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,94.73684210526315
3,3,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,93.85964912280701
3,3,4,['length'],1,1,91.75438596491227
3,3,4,['length'],0,1,93.50877192982456
3,3,4,"['length', 'sd']",1,1,92.98245614035088
3,3,4,"['length', 'sd']",0,1,91.05263157894737
3,3,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,95.08771929824562
3,3,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,90.87719298245615
3,3,8,['length'],1,1,90.70175438596492
3,3,8,['length'],0,1,93.15789473684211
3,3,8,"['length', 'sd']",1,1,90.70175438596492
3,3,8,"['length', 'sd']",0,1,90.52631578947368
3,3,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,86.14035087719299
3,3,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.42105263157895
3,3,16,['length'],1,1,92.63157894736842
3,3,16,['length'],0,1,92.45614035087719
3,3,16,"['length', 'sd']",1,1,84.03508771929825
3,3,16,"['length', 'sd']",0,1,88.0701754385965
3,3,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,87.19298245614036
3,3,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,87.01754385964912
3,3,32,['length'],1,1,90.35087719298247
3,3,32,['length'],0,1,91.05263157894737
3,3,32,"['length', 'sd']",1,1,81.57894736842105
3,3,32,"['length', 'sd']",0,1,84.73684210526315
3,3,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,80.17543859649123
3,3,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,83.50877192982456
3,3,64,['length'],1,1,87.89473684210526
3,3,64,['length'],0,1,91.05263157894737
3,3,64,"['length', 'sd']",1,1,79.12280701754386
3,3,64,"['length', 'sd']",0,1,78.94736842105263
3,3,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,76.66666666666667
3,3,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,77.36842105263158
3,3,128,['length'],1,1,79.12280701754386
3,3,128,['length'],0,1,81.22807017543859
3,3,128,"['length', 'sd']",1,1,75.08771929824562
3,3,128,"['length', 'sd']",0,1,77.71929824561403
3,3,128,"['sd', 'range_value', 'length', 'sum_diff']",1,1,78.94736842105263
3,3,128,"['sd', 'range_value', 'length', 'sum_diff']",0,1,72.63157894736842
4,1,2,['length'],1,1,93.6842105263158
4,1,2,['length'],0,1,94.56140350877193
4,1,2,"['length', 'sd']",1,1,94.03508771929825
4,1,2,"['length', 'sd']",0,1,93.33333333333333
4,1,2,"['sd', 'range_value', 'length', 'sum_diff']",1,1,94.38596491228071
4,1,2,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.38596491228071
4,1,4,['length'],1,1,94.21052631578948
4,1,4,['length'],0,1,94.38596491228071
4,1,4,"['length', 'sd']",1,1,93.50877192982456
4,1,4,"['length', 'sd']",0,1,94.38596491228071
4,1,4,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.85964912280701
4,1,4,"['sd', 'range_value', 'length', 'sum_diff']",0,1,94.38596491228071
4,1,8,['length'],1,1,93.15789473684211
4,1,8,['length'],0,1,94.56140350877193
4,1,8,"['length', 'sd']",1,1,92.80701754385964
4,1,8,"['length', 'sd']",0,1,91.9298245614035
4,1,8,"['sd', 'range_value', 'length', 'sum_diff']",1,1,93.33333333333333
4,1,8,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.94736842105263
4,1,16,['length'],1,1,93.50877192982456
4,1,16,['length'],0,1,93.33333333333333
4,1,16,"['length', 'sd']",1,1,93.33333333333333
4,1,16,"['length', 'sd']",0,1,92.10526315789474
4,1,16,"['sd', 'range_value', 'length', 'sum_diff']",1,1,92.63157894736842
4,1,16,"['sd', 'range_value', 'length', 'sum_diff']",0,1,88.7719298245614
4,1,32,['length'],1,1,92.45614035087719
4,1,32,['length'],0,1,93.85964912280701
4,1,32,"['length', 'sd']",1,1,90.0
4,1,32,"['length', 'sd']",0,1,91.75438596491227
4,1,32,"['sd', 'range_value', 'length', 'sum_diff']",1,1,88.24561403508771
4,1,32,"['sd', 'range_value', 'length', 'sum_diff']",0,1,90.17543859649123
4,1,64,['length'],1,1,92.80701754385964
4,1,64,['length'],0,1,93.6842105263158
4,1,64,"['length', 'sd']",1,1,90.87719298245615
4,1,64,"['length', 'sd']",0,1,90.70175438596492
4,1,64,"['sd', 'range_value', 'length', 'sum_diff']",1,1,87.54385964912281
4,1,64,"['sd', 'range_value', 'length', 'sum_diff']",0,1,87.89473684210526
4,1,128,['length'],1,1,93.33333333333333
4,1,128,['length'],0,1,93.33333333333333
4,1,128,"['length', 'sd']",1,1,89.29824561403508
